"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Município";"2013";;;;;"2014";;;;;"2015"
"Nível";"Cód.";"Município";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"MU";"1500131";"Abel Figueiredo (PA)";"-";"-";"-";"1360";"-";"-";"-";"-";"360";"-";"-";"-";"-";"400";"-"
"MU";"1500206";"Acará (PA)";"-";"-";"5";"500";"-";"-";"-";"5";"300";"-";"-";"-";"-";"300";"-"
"MU";"1500305";"Afuá (PA)";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"MU";"1500347";"Água Azul do Norte (PA)";"-";"-";"-";"4000";"-";"-";"-";"-";"4100";"-";"-";"-";"-";"4153";"-"
"MU";"1500404";"Alenquer (PA)";"-";"-";"20";"4800";"-";"-";"-";"20";"5000";"-";"-";"-";"20";"3000";"-"
"MU";"1500503";"Almeirim (PA)";"-";"-";"8";"95";"-";"-";"-";"8";"95";"-";"-";"-";"-";"150";"-"
"MU";"1500602";"Altamira (PA)";"-";"-";"30";"2400";"250";"-";"-";"30";"1300";"800";"-";"-";"30";"1300";"3837"
"MU";"1500701";"Anajás (PA)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1500800";"Ananindeua (PA)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"1500859";"Anapu (PA)";"-";"-";"-";"1200";"-";"-";"-";"-";"800";"-";"-";"-";"-";"500";"-"
"MU";"1500909";"Augusto Corrêa (PA)";"-";"-";"-";"185";"-";"-";"-";"-";"170";"20";"-";"-";"-";"150";"-"
"MU";"1500958";"Aurora do Pará (PA)";"-";"-";"-";"2400";"-";"-";"-";"-";"2400";"-";"-";"-";"-";"3500";"-"
"MU";"1501006";"Aveiro (PA)";"-";"-";"7";"730";"-";"-";"-";"3";"900";"-";"-";"-";"2";"900";"-"
"MU";"1501105";"Bagre (PA)";"-";"-";"-";"15";"-";"-";"-";"-";"15";"-";"-";"-";"-";"13";"-"
"MU";"1501204";"Baião (PA)";"-";"-";"-";"1250";"-";"-";"-";"-";"150";"-";"-";"-";"-";"180";"-"
"MU";"1501253";"Bannach (PA)";"-";"-";"-";"120";"-";"-";"-";"-";"150";"-";"-";"-";"-";"325";"-"
"MU";"1501303";"Barcarena (PA)";"-";"-";"30";"350";"-";"-";"-";"20";"250";"-";"-";"-";"20";"250";"-"
"MU";"1501402";"Belém (PA)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"..."
"MU";"1501451";"Belterra (PA)";"-";"-";"-";"5750";"10807";"-";"-";"-";"5750";"13672";"-";"-";"-";"7000";"13672"
"MU";"1501501";"Benevides (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"MU";"1501576";"Bom Jesus do Tocantins (PA)";"-";"-";"-";"1300";"-";"-";"-";"-";"1300";"-";"-";"-";"-";"1500";"-"
"MU";"1501600";"Bonito (PA)";"-";"-";"-";"75";"-";"-";"-";"-";"75";"-";"-";"-";"-";"75";"-"
"MU";"1501709";"Bragança (PA)";"-";"-";"5";"980";"-";"-";"-";"5";"900";"-";"-";"-";"5";"900";"-"
"MU";"1501725";"Brasil Novo (PA)";"-";"-";"2";"300";"-";"-";"-";"2";"300";"-";"-";"-";"2";"300";"-"
"MU";"1501758";"Brejo Grande do Araguaia (PA)";"-";"-";"-";"900";"-";"-";"-";"-";"700";"-";"-";"-";"-";"1200";"-"
"MU";"1501782";"Breu Branco (PA)";"-";"-";"-";"1350";"-";"-";"-";"-";"1350";"-";"-";"-";"-";"1500";"-"
"MU";"1501808";"Breves (PA)";"-";"-";"-";"80";"-";"-";"-";"-";"80";"-";"-";"-";"-";"60";"-"
"MU";"1501907";"Bujaru (PA)";"-";"-";"-";"130";"-";"-";"-";"-";"130";"-";"-";"-";"-";"150";"-"
"MU";"1501956";"Cachoeira do Piriá (PA)";"-";"-";"-";"600";"-";"-";"-";"-";"650";"-";"-";"-";"-";"650";"-"
